"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"39"	39	1	29	"asian"	"brown"	"cannon"	"BA"	4	0	24	863.234419368846	5
"40"	40	0	29	"black"	"brown"	"broom"	"BA"	5	0	22	938.807999535685	3
"41"	41	1	29	"white"	"yellow"	"paper"	"PhD"	1	1	66	685.300607994814	6
"42"	42	1	25	"other"	"yellow"	"paper"	"BA"	2	1	74	626.193261564252	5
"43"	43	0	21	"white"	"yellow"	"paper"	"MS"	3	1	45	879.947751164151	3
"44"	44	1	26	NA	"yellow"	"cannon"	"MS"	4	0	45	823.070959534998	5
"45"	45	0	24	"black"	"yellow"	"paper"	"PhD"	5	0	14	893.614188826956	3
"46"	46	1	25	"other"	"yellow"	"cannon"	"PhD"	1	1	82	573.777799859687	5
"47"	47	1	26	"white"	"brown"	"cannon"	"BA"	2	1	72	505.079340429641	6
"48"	48	0	25	"other"	"brown"	"broom"	"HighSchool"	3	0	57	723.883383109035	4
"49"	49	1	22	"white"	"brown"	"cannon"	"MS"	4	1	24	993.617352441133	4
"50"	50	1	25	NA	"yellow"	"accurate"	"MS"	5	0	14	989.89628100033	4
"51"	51	1	26	"white"	"brown"	"accurate"	"HighSchool"	1	1	68	638.577883732966	5
"52"	52	0	25	"other"	"brown"	"paper"	"HighSchool"	2	0	55	726.120383744946	4
"53"	53	1	26	"hispanic"	"brown"	"paper"	"MS"	3	1	52	889.718440865724	4
"54"	54	0	23	"white"	"brown"	"paper"	"MS"	4	0	26	997.638342888099	3
"55"	55	0	23	"white"	"brown"	"broom"	"HighSchool"	5	0	18	978.417450804625	3
"56"	56	0	23	"black"	"brown"	"paper"	"PhD"	1	1	79	654.306278576592	5
"57"	57	0	25	"white"	"yellow"	"cannon"	"HighSchool"	2	0	81	592.502219281056	5
"58"	58	1	26	"white"	"yellow"	"paper"	"HighSchool"	3	1	54	727.05623071652	5
"59"	59	0	27	"hispanic"	"brown"	"accurate"	"HighSchool"	4	0	26	943.13124803853	3
"60"	60	0	26	"white"	"yellow"	"broom"	"PhD"	5	0	22	942.047119274926	3
"61"	61	1	23	"black"	"yellow"	"paper"	"HighSchool"	1	1	92	574.23011567743	6
"62"	62	0	25	"white"	"yellow"	"broom"	"MS"	2	1	69	744.337945318413	3
"63"	63	1	26	"asian"	"brown"	"paper"	"PhD"	3	0	64	656.703554935653	5
"64"	64	0	25	"asian"	"yellow"	"accurate"	"MS"	4	0	40	755.975290153972	4
"65"	65	0	25	"white"	"brown"	"paper"	"BA"	5	0	14	937.401244182057	3
"66"	66	1	21	"black"	"brown"	"cannon"	"PhD"	1	1	72	658.58862964837	6
"67"	67	1	27	"black"	"yellow"	"cannon"	"HighSchool"	2	1	59	688.772847098632	5
"68"	68	0	23	"other"	"brown"	"paper"	"PhD"	3	1	42	952.125393293048	3
"69"	69	1	27	"white"	"brown"	"cannon"	"HighSchool"	4	0	32	838.620390333638	5
"70"	70	1	26	"white"	"yellow"	"broom"	"MS"	5	0	18	937.861870300964	5
"71"	71	0	26	"white"	"yellow"	"accurate"	"BA"	1	0	78	558.508026606885	5
"72"	72	0	23	"white"	"brown"	"broom"	"HighSchool"	2	1	50	759.236018808608	4
"73"	73	1	26	"white"	"yellow"	"accurate"	"MS"	3	0	49	771.726135402519	5
"74"	74	0	25	"white"	"yellow"	"accurate"	"BA"	4	0	29	959.276589095053	3
"75"	75	0	25	"white"	"yellow"	"broom"	"MS"	5	0	6	1063.20031047048	2
"76"	76	0	25	"hispanic"	"brown"	"paper"	"MS"	1	1	89	527.62970637125	4
"77"	77	0	25	"white"	"brown"	"cannon"	"HighSchool"	2	1	58	729.243453797211	4
"78"	78	1	26	"other"	"brown"	"broom"	"PhD"	3	0	41	853.495240257554	4
"79"	79	1	26	"white"	"brown"	"paper"	"HighSchool"	4	0	26	825.603372608091	4
"80"	80	0	26	"black"	"yellow"	"paper"	"HighSchool"	5	0	17	974.166434251065	3
"81"	81	1	27	"white"	"brown"	"paper"	"PhD"	1	1	82	626.933809366746	5
"82"	82	0	26	"white"	"brown"	"broom"	"MS"	2	1	60	660.826588245643	4
"83"	83	1	26	"black"	"yellow"	"paper"	"HighSchool"	3	0	46	975.512033458099	6
"84"	84	0	25	"white"	"yellow"	"accurate"	NA	4	1	38	891.529131083773	3
"85"	85	0	27	"other"	"brown"	"cannon"	"HighSchool"	5	0	15	951.444880470867	2
"86"	86	0	24	"black"	"yellow"	"cannon"	"MS"	1	1	83	624.415274686529	4
"87"	87	0	24	"white"	"yellow"	"broom"	"BA"	2	1	48	794.401697154895	4
"88"	88	1	24	"black"	"yellow"	"accurate"	"PhD"	3	1	40	903.152132520823	5
"89"	89	1	27	"white"	"yellow"	"accurate"	"HighSchool"	4	0	29	939.580617970674	5
"90"	90	1	27	"black"	"yellow"	"cannon"	"PhD"	5	0	18	972.768685360092	3
"91"	91	0	23	"black"	"brown"	"cannon"	"HighSchool"	1	0	70	645.841671876341	4
"92"	92	0	25	"hispanic"	"brown"	"accurate"	"HighSchool"	2	1	80	678.834601563054	5
"93"	93	1	24	"black"	"yellow"	"broom"	"BA"	3	0	46	872.553789575187	6
"94"	94	1	25	"white"	"yellow"	"cannon"	"PhD"	4	0	45	NA	4
"95"	95	1	25	NA	"brown"	"paper"	"BA"	5	0	6	1023.82254232302	4
"96"	96	1	23	"white"	"yellow"	"broom"	"MS"	1	0	87	598.346688838883	6
"97"	97	1	27	"other"	"brown"	"cannon"	"HighSchool"	2	1	59	729.762815833448	5
"98"	98	1	24	"white"	"yellow"	"paper"	"HighSchool"	3	0	48	817.216255463473	5
"99"	99	1	26	"white"	"brown"	"accurate"	"PhD"	4	0	32	936.495637116246	4
"100"	100	0	25	"white"	"brown"	"paper"	"MS"	5	0	22	899.976733683009	2
"101"	101	1	22	"other"	"yellow"	"paper"	"MS"	1	0	85	617.57725605144	6
"102"	102	0	23	"white"	"yellow"	"broom"	"HighSchool"	2	0	57	819.423869779058	3
"103"	103	0	23	"black"	"brown"	"paper"	"BA"	3	0	50	784.664373750402	3
"104"	104	1	24	"white"	"brown"	"cannon"	"PhD"	4	0	19	960.473578437471	4
"105"	105	0	26	"white"	"yellow"	"accurate"	"HighSchool"	5	0	16	940.273158300537	2
"106"	106	0	25	"black"	"brown"	"paper"	"MS"	1	1	79	619.693508749538	5
"107"	107	0	24	"other"	"brown"	"broom"	"HighSchool"	2	0	68	708.048272098592	3
"108"	108	1	24	"white"	"yellow"	"paper"	"MS"	3	0	59	813.014065658386	5
"109"	109	1	25	"white"	NA	"accurate"	"MS"	4	1	47	894.76776059582	5
"110"	110	0	22	"white"	"yellow"	"cannon"	"HighSchool"	5	0	19	1017.00221293405	2
"111"	111	0	24	"white"	"yellow"	"accurate"	"MS"	1	1	84	722.816065543509	4
"112"	112	1	26	"hispanic"	"brown"	"broom"	"MS"	2	1	74	714.49136930423	5
"113"	113	1	24	"other"	"brown"	"paper"	"PhD"	3	1	45	690.445685420408	5
"114"	114	1	25	"other"	"yellow"	"broom"	"BA"	4	0	38	894.943994432844	5
"115"	115	0	24	"white"	"brown"	"cannon"	"HighSchool"	5	0	1	1132.33639498041	3
"116"	116	0	25	"white"	"brown"	"broom"	"MS"	1	1	66	755.15178189846	4
"117"	117	0	23	"white"	"yellow"	"broom"	"HighSchool"	2	0	81	672.493886499558	5
"118"	118	1	26	"white"	"brown"	"paper"	"PhD"	3	0	50	849.269705832138	5
"119"	119	1	26	"white"	"brown"	"paper"	"HighSchool"	4	1	29	966.89711950401	4
"120"	120	0	25	"black"	"brown"	"broom"	"HighSchool"	5	0	13	966.76749988377	3
"121"	121	0	30	"hispanic"	"brown"	"accurate"	"HighSchool"	1	1	82	601.533192162556	5
"122"	122	0	28	"other"	"brown"	"accurate"	"HighSchool"	2	0	64	762.895971469546	3
"123"	123	1	26	"asian"	NA	"broom"	"MS"	3	0	54	789.613122593865	4
"124"	124	0	25	"black"	"brown"	"broom"	"PhD"	4	0	38	809.862001598601	3
"125"	125	1	27	"hispanic"	"yellow"	"cannon"	"HighSchool"	5	0	17	1031.75407631548	4
"126"	126	1	29	"white"	"yellow"	"paper"	"HighSchool"	1	0	88	721.123934571635	6
"127"	127	0	27	"hispanic"	"brown"	"paper"	"MS"	2	1	55	747.739678101001	3
"128"	128	0	25	"black"	"yellow"	"cannon"	"HighSchool"	3	0	54	809.227013157701	4
"129"	129	0	26	"white"	"brown"	"paper"	"PhD"	4	0	34	894.565657923649	3
"130"	130	0	25	"black"	"yellow"	"cannon"	"PhD"	5	0	19	989.360939454668	2
"131"	131	0	21	"other"	"brown"	"cannon"	"HighSchool"	1	1	74	803.152655383704	4
"132"	132	1	27	"black"	"brown"	"broom"	"PhD"	2	1	63	724.780879184191	5
"133"	133	1	27	"black"	"yellow"	"paper"	"BA"	3	1	51	764.670999463959	5
"134"	134	0	25	"white"	"brown"	"cannon"	"BA"	4	0	32	888.040263555146	3
"135"	135	0	30	"black"	"brown"	"paper"	"PhD"	5	0	18	1043.15712572359	4
"136"	136	1	25	"white"	"yellow"	"cannon"	"HighSchool"	1	1	84	590.596193306947	5
"137"	137	1	25	"white"	"yellow"	"accurate"	"HighSchool"	2	1	74	743.627712303281	4
"138"	138	1	23	"black"	"brown"	"broom"	"HighSchool"	3	1	44	892.377866350697	5
"139"	139	1	22	"asian"	"brown"	"paper"	"MS"	4	0	34	926.33332729579	4
"140"	140	1	26	"white"	"yellow"	"broom"	"PhD"	5	0	17	932.358362214678	4
"141"	141	0	26	"hispanic"	"yellow"	"cannon"	"PhD"	1	0	78	623.37520913135	4
"142"	142	0	27	"white"	"yellow"	"cannon"	"BA"	2	1	66	757.297182924308	3
"143"	143	0	25	"asian"	"brown"	"cannon"	"PhD"	3	0	48	784.638984511382	3
"144"	144	0	25	"hispanic"	"yellow"	"accurate"	"PhD"	4	0	36	879.79423039514	3
"145"	145	1	28	"hispanic"	"yellow"	"paper"	"PhD"	5	0	16	1012.73366365147	4
"146"	146	0	26	"white"	"yellow"	"cannon"	"BA"	1	1	74	621.554339895866	5
"147"	147	0	25	"white"	"brown"	"broom"	"HighSchool"	2	0	53	830.871669681684	3
"148"	148	0	22	"white"	"brown"	"broom"	"MS"	3	1	44	920.797275271581	3
"149"	149	1	26	"white"	"brown"	"cannon"	"BA"	4	0	39	824.70076127796	5
"150"	150	0	28	"black"	"yellow"	"accurate"	"BA"	5	0	22	960.131002869488	3
"151"	151	1	30	"white"	"brown"	"broom"	"PhD"	1	1	86	544.689071699569	6
"152"	152	1	25	"white"	"brown"	"accurate"	"PhD"	2	1	54	813.542442551258	5
"153"	153	0	25	"white"	"yellow"	"broom"	"BA"	3	1	65	745.309580024998	3
"154"	154	1	25	"asian"	"yellow"	"paper"	"MS"	4	0	37	845.49661013401	4
"155"	155	0	23	"black"	"brown"	"cannon"	"HighSchool"	5	0	26	1013.876335803	2
"156"	156	1	25	"hispanic"	"yellow"	"accurate"	"BA"	1	1	79	591.565496795501	5
"157"	157	1	27	"black"	"yellow"	"cannon"	"HighSchool"	2	1	69	784.289933087978	6
"158"	158	0	25	"black"	"brown"	"paper"	"MS"	3	0	41	914.719088339832	4
"159"	159	1	25	"white"	"yellow"	"cannon"	"HighSchool"	4	0	22	938.932074608564	4
"160"	160	0	23	"white"	"yellow"	"cannon"	"BA"	5	0	12	1029.23264242412	2
"161"	161	1	27	"other"	"yellow"	"broom"	"BA"	1	1	88	608.061294871053	7
"162"	162	0	25	"white"	"brown"	"accurate"	"HighSchool"	2	1	62	755.996063559916	4
"163"	163	0	26	"black"	"brown"	"broom"	"HighSchool"	3	1	50	802.34486383907	3
"164"	164	1	25	"white"	"yellow"	"accurate"	"BA"	4	0	31	859.201476431357	4
"165"	165	0	27	"white"	"yellow"	"accurate"	"BA"	5	0	24	990.640962511738	4
"166"	166	0	25	"hispanic"	"yellow"	"accurate"	"MS"	1	1	89	633.473399266297	4
"167"	167	0	26	"white"	"brown"	"broom"	"PhD"	2	1	75	681.380771820316	5
"168"	168	1	25	"white"	"brown"	"accurate"	"HighSchool"	3	0	41	903.074102010757	4
"169"	169	1	25	"white"	"yellow"	"accurate"	"BA"	4	0	34	972.595228817668	5
"170"	170	0	27	"white"	"brown"	"cannon"	"BA"	5	0	16	1067.2784381732	3
"171"	171	0	22	"white"	"brown"	"broom"	"PhD"	1	0	72	604.750677809582	4
"172"	172	0	26	"black"	"brown"	"broom"	"PhD"	2	1	61	656.868947778139	4
"173"	173	1	23	"other"	"brown"	"cannon"	"BA"	3	0	52	750.362443903188	5
"174"	174	0	27	"white"	"brown"	"paper"	"MS"	4	0	32	837.012615905731	4
"175"	175	0	25	"black"	"brown"	"accurate"	"PhD"	5	0	0	1123.55116047465	2
"176"	176	0	27	"other"	"brown"	"cannon"	"HighSchool"	1	1	80	603.241623873308	5
"177"	177	0	31	"white"	"yellow"	"paper"	"BA"	2	1	81	653.711856426498	4
"178"	178	1	28	"white"	"yellow"	"cannon"	"BA"	3	0	65	728.686160168595	5
"179"	179	0	25	"white"	"brown"	"accurate"	"PhD"	4	0	16	950.282823341878	2
"180"	180	0	23	"asian"	"yellow"	"cannon"	"MS"	5	0	19	891.550319536241	3
"181"	181	0	26	"asian"	"yellow"	"paper"	"PhD"	1	1	81	591.875609496243	4
"182"	182	0	27	"white"	"brown"	"paper"	"PhD"	2	0	57	743.846647692745	3
"183"	183	0	28	"asian"	"yellow"	"paper"	"MS"	3	0	43	960.404859375647	3
"184"	184	0	23	"other"	"yellow"	"accurate"	"BA"	4	0	35	869.35599807384	3
"185"	185	1	24	"other"	"yellow"	"accurate"	"HighSchool"	5	0	16	963.829028158941	4
"186"	186	1	22	"asian"	"brown"	"accurate"	"HighSchool"	1	0	74	613.045018833191	5
"187"	187	1	17	"other"	"yellow"	"broom"	"HighSchool"	2	0	64	720.661956822269	5
"188"	188	0	31	"black"	"brown"	"paper"	"BA"	3	1	42	837.099754653686	3
"189"	189	1	23	"black"	"yellow"	"cannon"	"HighSchool"	4	0	37	858.025071727507	4
"190"	190	0	25	"white"	"brown"	"cannon"	"BA"	5	1	24	921.796632701475	3
"191"	191	1	28	"other"	"yellow"	"paper"	"HighSchool"	1	1	79	643.231379593728	7
"192"	192	0	25	"white"	"brown"	"paper"	"PhD"	2	1	66	645.161025827332	5
"193"	193	0	27	"white"	"brown"	"broom"	"PhD"	3	0	42	846.148772203741	4
"194"	194	0	25	"black"	"yellow"	"broom"	"BA"	4	0	42	835.415727930626	3
"195"	195	1	24	"white"	"yellow"	"cannon"	"HighSchool"	5	0	16	888.28694096345	4
"196"	196	1	22	"white"	"brown"	"paper"	"MS"	1	0	81	606.854613120262	6
"197"	197	0	30	"asian"	"yellow"	"accurate"	"BA"	2	1	68	680.796740382257	4
"198"	198	1	26	"hispanic"	"brown"	"accurate"	"BA"	3	0	54	788.841343447535	4
"199"	199	0	25	"other"	"brown"	"cannon"	"HighSchool"	4	0	20	971.727550683635	2
"200"	200	0	26	"black"	"brown"	"cannon"	"HighSchool"	5	1	18	1075.53110709078	2
"201"	201	0	21	"black"	"brown"	"paper"	"HighSchool"	1	1	78	586.530653104539	4
"202"	202	1	24	"white"	"brown"	"accurate"	"PhD"	2	1	72	729.491410352528	4
"203"	203	1	22	"other"	"yellow"	"broom"	"BA"	3	0	46	744.754602063843	4
"204"	204	1	29	"asian"	"yellow"	"cannon"	"HighSchool"	4	0	29	965.24266077039	5
"205"	205	1	26	"white"	"brown"	"broom"	"PhD"	5	0	2	1102.9387401391	4
"206"	206	0	24	"other"	"yellow"	"accurate"	"PhD"	1	1	91	556.325577020276	4
"207"	207	0	25	"white"	"yellow"	"cannon"	"HighSchool"	2	1	71	707.867558872286	5
"208"	208	1	24	"white"	"brown"	"broom"	"BA"	3	0	60	764.420817156707	5
"209"	209	0	28	"black"	"yellow"	"broom"	"HighSchool"	4	0	37	830.681221758996	3
"210"	210	0	25	"white"	"brown"	"paper"	"HighSchool"	5	0	7	1100.01287367709	2
"211"	211	0	25	"hispanic"	"brown"	"cannon"	"BA"	1	1	74	645.667744025396	4
"212"	212	0	26	"white"	"brown"	"accurate"	"BA"	2	1	65	680.554029224732	4
"213"	213	0	26	"other"	"yellow"	"accurate"	"HighSchool"	3	0	52	791.03405041735	4
"214"	214	1	27	"other"	"brown"	"paper"	"HighSchool"	4	0	44	911.570681668015	5
"215"	215	0	30	"white"	"brown"	"accurate"	"PhD"	5	0	15	990.530570201691	3
"216"	216	1	24	"hispanic"	"brown"	"paper"	"MS"	1	1	85	580.09379430712	6
"217"	217	0	26	"white"	"brown"	"broom"	"PhD"	2	1	57	821.488825685691	3
"218"	218	1	23	"other"	"brown"	"broom"	"HighSchool"	3	0	61	744.239151736172	5
"219"	219	0	24	"black"	"yellow"	"paper"	"HighSchool"	4	0	34	848.272526852437	2
"220"	220	0	26	"white"	"yellow"	"paper"	"MS"	5	0	27	907.815854066419	3
"221"	221	0	23	"hispanic"	"yellow"	"paper"	"MS"	1	1	69	693.006761715087	4
"222"	222	1	22	"white"	"yellow"	"accurate"	"HighSchool"	2	1	66	711.492271049285	5
"223"	223	1	25	"white"	"brown"	"accurate"	"PhD"	3	0	31	873.044729611899	4
"224"	224	0	28	"white"	"brown"	"broom"	"HighSchool"	4	0	38	824.984772033746	4
"225"	225	1	28	"asian"	"yellow"	"accurate"	"MS"	5	0	22	1018.58129468849	5
"226"	226	1	26	"hispanic"	"yellow"	"cannon"	"HighSchool"	1	0	81	598.706506585903	5
"227"	227	0	27	"white"	"brown"	"accurate"	"HighSchool"	2	0	60	717.155183906216	4
"228"	228	0	27	"other"	"yellow"	"cannon"	"MS"	3	0	54	844.578523202992	4
"229"	229	0	24	"white"	"brown"	"paper"	"HighSchool"	4	0	24	1057.27485688008	2
"230"	230	1	27	"black"	"yellow"	"cannon"	"MS"	5	0	26	902.638968333417	5
"231"	231	0	26	"asian"	"brown"	"broom"	"HighSchool"	1	1	71	608.398670625124	4
"232"	232	1	25	"black"	"brown"	"accurate"	"HighSchool"	2	1	61	703.668164322036	5
"233"	233	1	24	"asian"	"yellow"	"broom"	"PhD"	3	0	49	789.095550309992	5
"234"	234	0	26	"white"	"brown"	"paper"	"PhD"	4	1	32	1016.7115733168	4
"235"	235	1	25	"asian"	"brown"	"cannon"	"PhD"	5	0	15	945.735010291746	4
"236"	236	0	20	"other"	"yellow"	"accurate"	"BA"	1	0	77	687.150526601118	4
"237"	237	0	25	"white"	"brown"	"broom"	"MS"	2	1	66	683.389379229521	5
"238"	238	1	24	"hispanic"	"brown"	"broom"	"PhD"	3	0	32	932.068474823588	4
"239"	239	1	25	"white"	"brown"	"cannon"	"HighSchool"	4	0	39	911.026973346623	4
"240"	240	1	25	"white"	"brown"	"accurate"	"HighSchool"	5	0	4	1017.39727968575	4
"241"	241	0	26	"other"	"brown"	"paper"	"MS"	1	1	89	603.257625417231	5
"242"	242	0	24	"white"	"brown"	"accurate"	"PhD"	2	1	59	665.019308436995	4
"243"	243	1	24	"white"	"yellow"	"broom"	"BA"	3	0	44	810.579843753907	4
"244"	244	1	27	"white"	"yellow"	"accurate"	"BA"	4	0	27	907.834318621002	4
"245"	245	1	24	"black"	"yellow"	"broom"	"MS"	5	0	20	960.457019972807	4
"246"	246	0	26	"white"	"yellow"	"accurate"	"PhD"	1	0	100	552.651392151074	4
"247"	247	1	25	"white"	"brown"	"cannon"	"MS"	2	1	41	951.794088379588	4
"248"	248	0	25	"white"	"yellow"	"cannon"	"HighSchool"	3	1	38	826.189203532709	3
"249"	249	1	25	"white"	"brown"	"paper"	"BA"	4	1	29	918.119490962736	3
"250"	250	1	25	"white"	"brown"	"accurate"	"PhD"	5	0	22	987.70716150541	4
"251"	251	1	26	"asian"	"brown"	"broom"	"HighSchool"	1	1	77	579.912240478684	6
"252"	252	0	23	"white"	NA	"broom"	"MS"	2	1	69	751.533786727093	4
"253"	253	0	25	"black"	"yellow"	"accurate"	"HighSchool"	3	0	54	800.780540472193	5
"254"	254	0	26	"black"	"brown"	"accurate"	"HighSchool"	4	0	37	866.598786879003	3
"255"	255	0	27	"asian"	"yellow"	"cannon"	"BA"	5	1	18	946.837799059006	2
"256"	256	1	24	"black"	"yellow"	"cannon"	"MS"	1	0	77	662.398063626502	5
"257"	257	1	24	"white"	"brown"	"paper"	"PhD"	2	0	57	731.915055582778	6
"258"	258	1	27	"other"	"yellow"	"paper"	"BA"	3	1	51	786.132975139289	5
"259"	259	0	28	"asian"	"yellow"	"paper"	"BA"	4	0	25	911.424289100544	3
"260"	260	0	28	"hispanic"	"brown"	"accurate"	"HighSchool"	5	0	17	1080.79147751673	3
"261"	261	0	23	"other"	"yellow"	"broom"	"MS"	1	1	89	558.060810346488	5
"262"	262	0	25	"white"	"yellow"	"accurate"	"HighSchool"	2	1	72	671.103360022399	4
"263"	263	1	23	"asian"	"brown"	"paper"	"BA"	3	0	46	814.070696958064	4
"264"	264	0	22	"white"	"brown"	"paper"	"MS"	4	0	39	848.991706412213	3
"265"	265	0	32	"hispanic"	"brown"	"cannon"	"HighSchool"	5	0	8	1002.40527812517	2
"266"	266	0	29	"white"	"brown"	"broom"	"MS"	1	1	76	570.641341332144	4
"267"	267	0	25	"white"	"brown"	"broom"	"BA"	2	0	69	734.322629955345	4
"268"	268	0	27	"asian"	"yellow"	"cannon"	"HighSchool"	3	1	41	909.80128700253	2
"269"	269	0	27	"asian"	"brown"	"cannon"	"MS"	4	1	31	922.587441416474	3
"270"	270	1	23	"white"	"brown"	"accurate"	"HighSchool"	5	0	21	953.921289006504	3
"271"	271	1	25	"asian"	"brown"	"paper"	"MS"	1	1	74	652.837919867116	6
"272"	272	1	25	"white"	"brown"	"cannon"	"MS"	2	1	67	869.839235679415	5
"273"	273	1	23	"white"	"brown"	"cannon"	"MS"	3	0	44	827.48364013973	4
"274"	274	1	22	"other"	"brown"	"paper"	"PhD"	4	0	28	890.629202985946	4
"275"	275	1	27	"black"	"brown"	"broom"	"PhD"	5	1	19	913.967294669776	3
"276"	276	1	25	"white"	"brown"	"broom"	"MS"	1	0	71	725.410855160819	5
"277"	277	1	28	"hispanic"	"yellow"	"cannon"	"HighSchool"	2	0	68	677.575489113936	5
"278"	278	0	26	"hispanic"	"yellow"	"broom"	"BA"	3	1	59	739.886595542302	5
"279"	279	1	24	"asian"	"yellow"	"broom"	"PhD"	4	0	34	884.241884138018	4
"280"	280	1	26	"black"	"yellow"	"cannon"	"BA"	5	0	23	1006.88745210322	4
"281"	281	0	27	"hispanic"	"yellow"	"paper"	"MS"	1	1	98	551.034688111561	5
"282"	282	0	27	"black"	"brown"	"cannon"	"MS"	2	1	57	784.321453494166	5
"283"	283	0	25	"white"	"yellow"	"paper"	"HighSchool"	3	1	45	874.911552170196	4
"284"	284	1	27	"black"	"brown"	"paper"	"BA"	4	0	21	981.840008754791	4
"285"	285	0	27	"other"	"brown"	"broom"	"HighSchool"	5	0	11	1045.03306079042	2
"286"	286	0	27	"hispanic"	"brown"	"paper"	"MS"	1	0	74	684.325720050271	4
"287"	287	0	25	"black"	"brown"	"cannon"	"BA"	2	1	62	809.328117287489	4
"288"	288	1	23	"black"	"brown"	"paper"	"BA"	3	1	51	799.173833055905	5
"289"	289	0	28	"white"	"yellow"	"paper"	"MS"	4	1	22	979.796080580368	4
"290"	290	0	28	"other"	"brown"	"paper"	"MS"	5	0	19	900.792344158434	3
"291"	291	1	23	"white"	"brown"	"paper"	"MS"	1	1	81	618.81962484004	5
"292"	292	1	24	"white"	"yellow"	"accurate"	"PhD"	2	1	66	721.046717403901	5
"293"	293	1	26	"white"	"yellow"	"broom"	"BA"	3	1	58	796.964224270311	5
"294"	294	0	24	"white"	"brown"	"cannon"	"PhD"	4	0	34	937.107820729528	3
"295"	295	1	26	"hispanic"	"yellow"	"accurate"	"HighSchool"	5	1	17	1077.36982717033	4
"296"	296	1	25	"black"	"brown"	"broom"	"MS"	1	1	78	656.947185403229	5
"297"	297	0	26	"white"	"yellow"	"accurate"	"MS"	2	1	67	774.860721962083	4
"298"	298	1	24	"white"	"brown"	"accurate"	"MS"	3	1	52	802.939215369625	4
