"id"	"sex"	"age"	"attention"	"prime"	"prime.duration"	"grandparents"	"walk"	"walking.m"
"84"	84	"f"	22	1	"elderly"	1	"none"	45.6	0.76
"87"	87	"f"	22	1	"neutral"	10	"no"	33	0.55
"88"	88	"m"	21	1	"elderly"	10	"yes"	37.7	0.628333333333333
"89"	89	"m"	20	1	"neutral"	10	"none"	23.8	0.396666666666667
"91"	91	"f"	24	1	"neutral"	10	"no"	36.4	0.606666666666667
"92"	92	"m"	20	1	"neutral"	10	"yes"	24.6	0.41
"93"	93	"m"	22	1	"elderly"	1	"none"	34.5	0.575
"95"	95	"f"	21	1	"neutral"	1	"none"	34.8	0.58
"96"	96	"m"	23	1	"neutral"	5	"yes"	23.6	0.393333333333333
"98"	98	"m"	22	1	"neutral"	5	"no"	24.6	0.41
"99"	99	"m"	23	1	"neutral"	1	"no"	25.5	0.425
"100"	100	"f"	22	1	"elderly"	5	"no"	45.4	0.756666666666667
"101"	101	"m"	22	1	"neutral"	30	"none"	25	0.416666666666667
"102"	102	"m"	23	1	"elderly"	10	"yes"	41.1	0.685
"105"	105	"f"	23	1	"neutral"	5	"none"	35	0.583333333333333
"106"	106	"f"	22	1	"elderly"	1	"no"	43.9	0.731666666666667
"110"	110	"f"	19	1	"neutral"	30	"no"	35.8	0.596666666666667
"111"	111	"f"	21	1	"elderly"	1	"none"	45	0.75
"112"	112	"f"	25	1	"neutral"	30	"none"	36	0.6
"113"	113	"m"	23	1	"neutral"	5	"yes"	25.2	0.42
"115"	115	"f"	22	1	"neutral"	1	"yes"	34.7	0.578333333333333
"116"	116	"m"	22	1	"elderly"	10	"no"	36.9	0.615
"118"	118	"f"	22	1	"neutral"	30	"yes"	36.1	0.601666666666667
"119"	119	"m"	21	1	"neutral"	30	"none"	25.2	0.42
"120"	120	"f"	23	1	"elderly"	10	"yes"	50	0.833333333333333
"121"	121	"m"	22	1	"neutral"	5	"no"	24.4	0.406666666666667
"124"	124	"f"	23	1	"neutral"	5	"no"	35	0.583333333333333
"125"	125	"m"	21	1	"neutral"	10	"no"	26.2	0.436666666666667
"127"	127	"f"	22	1	"elderly"	5	"yes"	48.9	0.815
"128"	128	"f"	22	1	"neutral"	10	"no"	34.7	0.578333333333333
"130"	130	"m"	22	1	"neutral"	10	"none"	26.2	0.436666666666667
"131"	131	"m"	22	1	"neutral"	10	"no"	24.9	0.415
"134"	134	"m"	22	1	"neutral"	10	"none"	26.6	0.443333333333333
"135"	135	"f"	21	1	"elderly"	30	"no"	45	0.75
"139"	139	"m"	23	1	"elderly"	10	"no"	35.5	0.591666666666667
"140"	140	"f"	22	1	"elderly"	10	"no"	45.4	0.756666666666667
"144"	144	"f"	21	1	"elderly"	30	"none"	45.6	0.76
"146"	146	"f"	23	1	"neutral"	1	"no"	35.7	0.595
"148"	148	"m"	21	1	"elderly"	10	"none"	34.1	0.568333333333333
"150"	150	"m"	21	1	"neutral"	1	"none"	25.8	0.43
"151"	151	"f"	21	1	"elderly"	10	"no"	43.4	0.723333333333333
"152"	152	"f"	22	1	"elderly"	30	"no"	45.4	0.756666666666667
"158"	158	"f"	21	1	"neutral"	30	"no"	33.8	0.563333333333333
"160"	160	"f"	23	1	"neutral"	30	"yes"	36	0.6
"161"	161	"f"	23	1	"elderly"	30	"no"	45	0.75
"162"	162	"f"	22	1	"elderly"	10	"yes"	49.8	0.83
"163"	163	"m"	24	1	"neutral"	30	"none"	24.5	0.408333333333333
"164"	164	"m"	22	1	"elderly"	5	"none"	34	0.566666666666667
"166"	166	"m"	22	1	"neutral"	5	"no"	25	0.416666666666667
"167"	167	"m"	22	1	"neutral"	10	"no"	25.6	0.426666666666667
"169"	169	"f"	22	1	"elderly"	10	"yes"	47.5	0.791666666666667
"170"	170	"f"	21	1	"neutral"	5	"none"	36.2	0.603333333333333
"171"	171	"m"	22	1	"elderly"	1	"none"	35.5	0.591666666666667
"175"	175	"f"	22	1	"neutral"	30	"yes"	35.6	0.593333333333333
"178"	178	"f"	20	1	"neutral"	10	"no"	36.1	0.601666666666667
"179"	179	"m"	23	1	"elderly"	10	"no"	34.9	0.581666666666667
"180"	180	"f"	22	1	"elderly"	30	"no"	44.2	0.736666666666667
"182"	182	"f"	22	1	"elderly"	5	"no"	44.3	0.738333333333333
"184"	184	"f"	21	1	"neutral"	1	"no"	34.1	0.568333333333333
"187"	187	"m"	21	1	"neutral"	5	"yes"	25.5	0.425
"189"	189	"m"	23	1	"elderly"	5	"yes"	40	0.666666666666667
"193"	193	"m"	24	1	"elderly"	30	"none"	35.1	0.585
"194"	194	"f"	21	1	"neutral"	10	"yes"	34.8	0.58
"197"	197	"m"	21	1	"neutral"	1	"no"	24.7	0.411666666666667
"198"	198	"f"	22	1	"elderly"	5	"yes"	49.3	0.821666666666667
"200"	200	"f"	22	1	"neutral"	30	"no"	34.4	0.573333333333333
"201"	201	"m"	20	1	"neutral"	10	"yes"	25.5	0.425
"202"	202	"f"	19	1	"elderly"	10	"none"	44.2	0.736666666666667
"204"	204	"f"	22	1	"neutral"	5	"yes"	34.6	0.576666666666667
"206"	206	"f"	22	1	"elderly"	30	"no"	45.5	0.758333333333333
"209"	209	"m"	20	1	"elderly"	5	"no"	34.8	0.58
"210"	210	"m"	20	1	"elderly"	10	"yes"	40.7	0.678333333333333
"211"	211	"m"	24	1	"elderly"	1	"no"	35.3	0.588333333333333
"212"	212	"f"	20	1	"neutral"	30	"none"	34	0.566666666666667
"216"	216	"f"	21	1	"elderly"	30	"none"	44.5	0.741666666666667
"218"	218	"f"	23	1	"neutral"	5	"no"	35.7	0.595
"219"	219	"m"	21	1	"elderly"	5	"yes"	40	0.666666666666667
"220"	220	"m"	22	1	"neutral"	1	"yes"	25.7	0.428333333333333
"224"	224	"f"	20	1	"elderly"	10	"yes"	49.2	0.82
"226"	226	"f"	24	1	"neutral"	10	"yes"	35.6	0.593333333333333
"227"	227	"m"	22	1	"neutral"	10	"yes"	24.6	0.41
"228"	228	"m"	23	1	"neutral"	1	"yes"	24.6	0.41
"229"	229	"m"	23	1	"elderly"	5	"yes"	39.8	0.663333333333333
"234"	234	"f"	21	1	"elderly"	30	"yes"	51.4	0.856666666666667
"236"	236	"m"	22	1	"neutral"	1	"no"	25.1	0.418333333333333
"239"	239	"f"	22	1	"elderly"	5	"no"	44.2	0.736666666666667
"240"	240	"f"	22	1	"elderly"	10	"none"	44.8	0.746666666666667
"241"	241	"m"	23	1	"elderly"	10	"yes"	42.1	0.701666666666667
"243"	243	"f"	23	1	"elderly"	30	"yes"	49.9	0.831666666666667
"252"	252	"f"	22	1	"neutral"	10	"none"	34.8	0.58
"253"	253	"m"	22	1	"elderly"	1	"yes"	38.3	0.638333333333333
"254"	254	"m"	20	1	"elderly"	5	"none"	34.4	0.573333333333333
"255"	255	"f"	22	1	"elderly"	1	"no"	44.8	0.746666666666667
"257"	257	"m"	24	1	"elderly"	1	"yes"	40.2	0.67
"258"	258	"m"	23	1	"elderly"	10	"yes"	39.4	0.656666666666667
"259"	259	"f"	21	1	"neutral"	10	"none"	33.9	0.565
"260"	260	"f"	22	1	"elderly"	10	"yes"	50.1	0.835
"261"	261	"m"	22	1	"neutral"	1	"yes"	26.3	0.438333333333333
"262"	262	"f"	22	1	"elderly"	1	"none"	44	0.733333333333333
"263"	263	"m"	24	1	"elderly"	30	"none"	33.6	0.56
"265"	265	"f"	23	1	"elderly"	10	"none"	44.5	0.741666666666667
"266"	266	"f"	23	1	"elderly"	5	"no"	44.9	0.748333333333333
"267"	267	"m"	21	1	"elderly"	30	"none"	33.8	0.563333333333333
"269"	269	"f"	22	1	"neutral"	30	"no"	35.5	0.591666666666667
"270"	270	"f"	22	1	"elderly"	10	"yes"	49.2	0.82
"271"	271	"f"	22	1	"elderly"	10	"none"	44.1	0.735
"273"	273	"m"	21	1	"elderly"	10	"none"	36.1	0.601666666666667
"274"	274	"m"	24	1	"elderly"	10	"no"	34.8	0.58
"276"	276	"f"	21	1	"neutral"	30	"none"	34.9	0.581666666666667
"277"	277	"m"	22	1	"elderly"	1	"none"	35.2	0.586666666666667
"278"	278	"m"	22	1	"elderly"	5	"yes"	39.4	0.656666666666667
"279"	279	"f"	21	1	"neutral"	5	"yes"	34.9	0.581666666666667
"281"	281	"m"	22	1	"neutral"	10	"no"	24.5	0.408333333333333
"282"	282	"m"	24	1	"elderly"	10	"yes"	40.1	0.668333333333333
"283"	283	"m"	21	1	"neutral"	30	"yes"	24.3	0.405
"285"	285	"f"	23	1	"elderly"	5	"none"	46.1	0.768333333333333
"286"	286	"f"	22	1	"elderly"	10	"yes"	50.5	0.841666666666667
"288"	288	"f"	21	1	"elderly"	30	"yes"	48.9	0.815
"289"	289	"m"	23	1	"neutral"	1	"no"	24.4	0.406666666666667
"290"	290	"m"	22	1	"elderly"	5	"no"	35.8	0.596666666666667
"292"	292	"f"	21	1	"elderly"	5	"no"	45.7	0.761666666666667
"293"	293	"m"	23	1	"neutral"	1	"yes"	24	0.4
"294"	294	"f"	22	1	"neutral"	1	"no"	33.7	0.561666666666667
"296"	296	"m"	22	1	"elderly"	1	"no"	35.4	0.59
"300"	300	"f"	21	1	"elderly"	5	"yes"	51.5	0.858333333333333
"301"	301	"f"	21	1	"elderly"	1	"none"	45.2	0.753333333333333
"302"	302	"f"	23	1	"elderly"	5	"none"	46.8	0.78
"303"	303	"f"	22	1	"neutral"	10	"no"	35.7	0.595
"304"	304	"f"	21	1	"elderly"	5	"yes"	48.7	0.811666666666667
"305"	305	"m"	22	1	"neutral"	1	"none"	25.4	0.423333333333333
"306"	306	"f"	22	1	"neutral"	5	"none"	34.1	0.568333333333333
"307"	307	"m"	21	1	"neutral"	30	"none"	25.8	0.43
"308"	308	"f"	22	1	"elderly"	1	"none"	46.4	0.773333333333333
"309"	309	"f"	24	1	"elderly"	5	"yes"	48.7	0.811666666666667
"310"	310	"f"	23	1	"neutral"	10	"yes"	34.8	0.58
"312"	312	"f"	23	1	"neutral"	1	"yes"	34.9	0.581666666666667
"313"	313	"m"	21	1	"neutral"	1	"no"	25.4	0.423333333333333
"319"	319	"f"	22	1	"neutral"	10	"none"	35.5	0.591666666666667
"320"	320	"f"	22	1	"neutral"	10	"no"	34.5	0.575
"321"	321	"m"	21	1	"neutral"	5	"no"	24.2	0.403333333333333
"322"	322	"f"	22	1	"elderly"	10	"none"	46.3	0.771666666666667
"323"	323	"f"	24	1	"neutral"	30	"no"	35	0.583333333333333
"324"	324	"f"	21	1	"elderly"	1	"yes"	49	0.816666666666667
"326"	326	"f"	23	1	"neutral"	1	"no"	35	0.583333333333333
"327"	327	"f"	22	1	"elderly"	30	"no"	43.6	0.726666666666667
"330"	330	"f"	23	1	"neutral"	30	"no"	33.6	0.56
"333"	333	"m"	21	1	"neutral"	1	"no"	25.6	0.426666666666667
"334"	334	"f"	23	1	"neutral"	30	"none"	35	0.583333333333333
"335"	335	"m"	21	1	"elderly"	5	"no"	35.4	0.59
"336"	336	"m"	22	1	"elderly"	1	"no"	33.8	0.563333333333333
"340"	340	"f"	22	1	"neutral"	30	"yes"	33.9	0.565
"343"	343	"f"	24	1	"neutral"	5	"no"	35.4	0.59
"344"	344	"m"	19	1	"elderly"	5	"none"	37	0.616666666666667
"345"	345	"m"	23	1	"elderly"	10	"none"	33	0.55
"346"	346	"m"	20	1	"elderly"	5	"yes"	41.8	0.696666666666667
"351"	351	"m"	24	1	"elderly"	10	"yes"	38.7	0.645
"352"	352	"m"	22	1	"neutral"	5	"no"	25.5	0.425
"353"	353	"f"	21	1	"neutral"	5	"yes"	35.8	0.596666666666667
"354"	354	"m"	23	1	"neutral"	10	"none"	25.6	0.426666666666667
"355"	355	"m"	23	1	"neutral"	10	"none"	23.8	0.396666666666667
"357"	357	"f"	23	1	"neutral"	5	"none"	36.1	0.601666666666667
"362"	362	"m"	21	1	"elderly"	10	"no"	35.9	0.598333333333333
"363"	363	"f"	20	1	"neutral"	1	"none"	36.5	0.608333333333333
"364"	364	"m"	20	1	"elderly"	5	"yes"	40.1	0.668333333333333
"365"	365	"f"	22	1	"neutral"	1	"yes"	36.4	0.606666666666667
"366"	366	"f"	23	1	"neutral"	30	"yes"	35.1	0.585
"367"	367	"m"	21	1	"elderly"	30	"no"	33.4	0.556666666666667
"368"	368	"m"	21	1	"elderly"	10	"yes"	39.7	0.661666666666667
"370"	370	"f"	22	1	"elderly"	1	"no"	44.5	0.741666666666667
"375"	375	"m"	22	1	"neutral"	30	"none"	24.5	0.408333333333333
"376"	376	"m"	21	1	"neutral"	5	"none"	26.3	0.438333333333333
"378"	378	"m"	22	1	"neutral"	5	"yes"	22.6	0.376666666666667
"379"	379	"m"	22	1	"neutral"	1	"none"	25.8	0.43
"385"	385	"f"	23	1	"neutral"	10	"none"	36.2	0.603333333333333
"386"	386	"f"	22	1	"elderly"	5	"no"	45.8	0.763333333333333
"387"	387	"m"	22	1	"neutral"	30	"none"	25.3	0.421666666666667
"388"	388	"f"	23	1	"elderly"	5	"no"	45.3	0.755
"390"	390	"f"	22	1	"neutral"	1	"yes"	36.1	0.601666666666667
"391"	391	"m"	21	1	"neutral"	30	"no"	25.8	0.43
"393"	393	"f"	21	1	"neutral"	10	"none"	36	0.6
"394"	394	"m"	23	1	"elderly"	30	"no"	34.6	0.576666666666667
"395"	395	"f"	22	1	"neutral"	5	"yes"	34.7	0.578333333333333
"396"	396	"f"	22	1	"neutral"	30	"yes"	36.8	0.613333333333333
"397"	397	"m"	21	1	"neutral"	30	"no"	23	0.383333333333333
"398"	398	"m"	22	1	"neutral"	5	"no"	25	0.416666666666667
"399"	399	"f"	19	1	"elderly"	1	"yes"	48.6	0.81
"403"	403	"m"	21	1	"elderly"	5	"yes"	39.6	0.66
"404"	404	"m"	21	1	"neutral"	10	"none"	23.3	0.388333333333333
"406"	406	"f"	22	1	"neutral"	30	"no"	35.5	0.591666666666667
"408"	408	"f"	23	1	"neutral"	1	"no"	34.3	0.571666666666667
"409"	409	"f"	22	1	"elderly"	1	"yes"	51.2	0.853333333333333
"410"	410	"m"	21	1	"neutral"	5	"yes"	24.6	0.41
"412"	412	"f"	21	1	"elderly"	30	"no"	45.4	0.756666666666667
"413"	413	"m"	22	1	"elderly"	10	"no"	35.4	0.59
"414"	414	"f"	23	1	"elderly"	30	"none"	46	0.766666666666667
"415"	415	"m"	22	1	"neutral"	1	"no"	26.5	0.441666666666667
"417"	417	"m"	23	1	"neutral"	30	"no"	24.7	0.411666666666667
"418"	418	"f"	22	1	"neutral"	5	"no"	34.3	0.571666666666667
"420"	420	"f"	23	1	"neutral"	1	"yes"	36.1	0.601666666666667
"421"	421	"f"	22	1	"elderly"	1	"yes"	49.7	0.828333333333333
"424"	424	"f"	21	1	"elderly"	30	"none"	44.7	0.745
"425"	425	"m"	22	1	"elderly"	5	"none"	36.2	0.603333333333333
"428"	428	"f"	22	1	"neutral"	1	"yes"	35.7	0.595
"429"	429	"m"	23	1	"elderly"	30	"yes"	39.1	0.651666666666667
"431"	431	"f"	23	1	"neutral"	10	"no"	35.3	0.588333333333333
"432"	432	"m"	21	1	"neutral"	10	"none"	26.1	0.435
"436"	436	"f"	21	1	"neutral"	10	"yes"	34.2	0.57
"437"	437	"f"	23	1	"elderly"	30	"no"	43.9	0.731666666666667
"439"	439	"m"	23	1	"elderly"	1	"none"	34.9	0.581666666666667
"443"	443	"m"	21	1	"neutral"	5	"no"	25.5	0.425
"445"	445	"f"	23	1	"neutral"	10	"no"	36.7	0.611666666666667
"450"	450	"m"	22	1	"neutral"	30	"none"	24.4	0.406666666666667
"451"	451	"m"	23	1	"elderly"	1	"yes"	40.5	0.675
"452"	452	"f"	22	1	"neutral"	5	"yes"	36.3	0.605
"453"	453	"f"	23	1	"neutral"	30	"none"	34.6	0.576666666666667
"454"	454	"f"	23	1	"elderly"	5	"no"	44.4	0.74
"456"	456	"f"	24	1	"elderly"	30	"yes"	51	0.85
"458"	458	"f"	23	1	"neutral"	30	"no"	32.3	0.538333333333333
"460"	460	"m"	21	1	"elderly"	5	"yes"	40	0.666666666666667
"461"	461	"f"	22	1	"elderly"	30	"no"	44.1	0.735
"462"	462	"f"	20	1	"neutral"	1	"none"	36	0.6
"463"	463	"f"	23	1	"neutral"	10	"no"	33.8	0.563333333333333
"464"	464	"f"	22	1	"neutral"	30	"yes"	34	0.566666666666667
"465"	465	"m"	21	1	"neutral"	1	"yes"	25.8	0.43
"466"	466	"f"	22	1	"neutral"	10	"yes"	37.1	0.618333333333333
"468"	468	"m"	22	1	"elderly"	10	"no"	36.3	0.605
"471"	471	"m"	24	1	"elderly"	10	"yes"	40.5	0.675
"472"	472	"m"	23	1	"neutral"	10	"no"	24.3	0.405
"474"	474	"m"	23	1	"neutral"	30	"no"	25.7	0.428333333333333
"476"	476	"f"	22	1	"neutral"	10	"none"	35.4	0.59
"477"	477	"f"	21	1	"neutral"	1	"none"	34.2	0.57
"480"	480	"f"	21	1	"neutral"	10	"none"	34.8	0.58
"481"	481	"m"	22	1	"neutral"	10	"yes"	23.7	0.395
"482"	482	"m"	23	1	"neutral"	10	"none"	24.2	0.403333333333333
"483"	483	"f"	23	1	"neutral"	5	"none"	36.3	0.605
"484"	484	"m"	21	1	"elderly"	30	"none"	37.3	0.621666666666667
"485"	485	"m"	22	1	"elderly"	10	"no"	35	0.583333333333333
"490"	490	"m"	23	1	"elderly"	10	"none"	35	0.583333333333333
"492"	492	"m"	22	1	"neutral"	5	"no"	25.2	0.42
"496"	496	"f"	24	1	"elderly"	5	"no"	44.9	0.748333333333333
"498"	498	"m"	22	1	"neutral"	10	"none"	26.8	0.446666666666667
"499"	499	"f"	22	1	"elderly"	5	"no"	43.8	0.73
"500"	500	"m"	22	1	"elderly"	30	"yes"	40.2	0.67
