"sex"	"age"	"major"	"haircolor"	"iq"	"country"	"logic"	"siblings"	"multitasking"	"partners"	"marijuana"	"risk"
"f"	25	"chemistry"	"brown"	101	"switzerland"	5.56	1	49	9	0	0
"m"	23	"psychology"	"brown"	113	"germany"	6.41	3	50	5	0	0
"m"	23	"psychology"	"blonde"	114	"switzerland"	13.38	3	52	12	1	0
"f"	24	"psychology"	"black"	106	"austria"	6.66	3	54	8	0	1
"f"	22	"economics"	"blonde"	108	"switzerland"	6.53	1	66	9	1	0
"f"	20	"psychology"	"black"	109	"switzerland"	9.95	3	44	3	0	0
"m"	22	"psychology"	"brown"	108	"switzerland"	10.13	3	21	7	0	0
"m"	23	"psychology"	"black"	111	"switzerland"	7.08	2	52	4	1	0
"m"	25	"psychology"	"brown"	107	"switzerland"	9.16	4	30	10	1	0
"m"	22	"psychology"	"brown"	108	"germany"	11.15	2	49	4	0	0
"m"	22	"economics"	"brown"	106	"switzerland"	8.79	3	52	3	0	0
"f"	26	"chemistry"	"brown"	114	"switzerland"	9.86	0	44	15	0	0
"m"	21	"economics"	"brown"	104	"germany"	12.67	2	47	1	0	0
"m"	24	"psychology"	"brown"	114	"switzerland"	8.46	1	57	6	1	0
"f"	22	"psychology"	"brown"	111	"switzerland"	11.11	3	53	8	0	0
"f"	24	"psychology"	"brown"	110	"germany"	6.58	3	58	6	1	1
"f"	20	"psychology"	"black"	111	"switzerland"	8.95	1	32	6	1	1
"f"	22	"psychology"	"red"	122	"germany"	14.13	3	36	13	1	0
"f"	22	"psychology"	"black"	112	"germany"	10.85	2	49	10	0	0
"f"	25	"psychology"	"blonde"	117	"switzerland"	12.02	2	48	11	1	0
"f"	22	"psychology"	"blonde"	113	"switzerland"	12.72	3	46	6	0	0
"m"	24	"economics"	"blonde"	109	"switzerland"	9.79	0	72	9	1	0
"m"	22	"psychology"	"brown"	103	"switzerland"	10.08	4	45	7	0	1
"f"	21	"psychology"	"blonde"	116	"switzerland"	12.24	4	49	8	1	0
"f"	24	"psychology"	"red"	111	"austria"	10.48	5	39	10	0	0
"f"	22	"psychology"	"brown"	112	"switzerland"	7.92	3	54	6	1	0
"m"	26	"economics"	"brown"	112	"germany"	9.02	1	44	5	0	0
"f"	24	"psychology"	"blonde"	109	"switzerland"	10.77	2	37	8	0	0
"f"	23	"psychology"	"brown"	108	"switzerland"	9.71	2	55	5	0	1
"m"	24	"psychology"	"red"	107	"switzerland"	8.7	3	36	10	0	0
"m"	23	"chemistry"	"blonde"	98	"switzerland"	10.11	1	57	6	1	1
"f"	24	"psychology"	"brown"	102	"germany"	9.51	1	47	8	0	0
"f"	22	"psychology"	"red"	119	"germany"	12.47	2	38	9	0	0
"m"	19	"psychology"	"brown"	98	"switzerland"	9.64	2	32	0	0	0
"m"	23	"biology"	"brown"	112	"switzerland"	12.47	1	53	9	1	0
"m"	24	"psychology"	"brown"	113	"switzerland"	7.84	3	51	10	1	0
"f"	21	"psychology"	"brown"	105	"switzerland"	9.01	3	31	5	0	1
"m"	21	"psychology"	"blonde"	115	"switzerland"	6.58	2	51	4	1	0
"f"	22	"psychology"	"brown"	107	"switzerland"	10.08	2	48	8	0	1
"m"	22	"psychology"	"brown"	110	"switzerland"	8.88	4	42	3	0	0
"m"	24	"economics"	"red"	117	"switzerland"	4.89	4	33	12	1	1
"f"	23	"psychology"	"brown"	108	"germany"	8.61	2	47	9	1	0
